	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
453	gamma-glutamylcitrulline*	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100020241	1644	305.1456		.		
454	gamma-glutamylglutamate	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	331	1775	277.103	1116-22-9	92865	C05282	HMDB11737
455	gamma-glutamylglutamine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	1140	1430	276.119	10148-81-9	150914	C05283	HMDB11738
456	gamma-glutamylglycine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001294	1535	205.0819	1948-29-4	165527		HMDB11667
457	gamma-glutamylhistidine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	1235	2740	285.1194	37460-15-4	7017195		
458	gamma-glutamylisoleucine*	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001485	2940	261.1445		14253342		HMDB11170
459	gamma-glutamylleucine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	1268	2991	261.1445	2566-39-4	151023		HMDB11171
460	gamma-glutamylmethionine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001313	2640	279.1009	17663-87-5	7009567		HMDB29155
461	gamma-glutamylphenylalanine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100000491	2992	295.1289	7432-24-8	111299		HMDB00594
462	gamma-glutamylthreonine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001314	1750	249.1081	5652-48-2	76078708		HMDB29159
463	gamma-glutamyltryptophan	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001295	2975	334.1398	66471-20-3	3989307		HMDB29160
464	gamma-glutamyltyrosine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Neg	1102	1240	309.1092	7432-23-7	94340		HMDB11741
465	gamma-glutamylvaline	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001126	2700	247.1289	2746-34-1	7015683		HMDB11172
466	gamma-tocopherol/beta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	100008998	2384	416.3643		.		
467	genistein sulfate*	Xenobiotics	Food Component/Plant	LC/MS Neg	100020207	3616	349.0024		.		
468	gentisate	Amino Acid	Tyrosine Metabolism	LC/MS Polar	100000447	905	153.0193	490-79-9	3469	C00628	HMDB00152
469	gluconate	Xenobiotics	Food Component/Plant	LC/MS Polar	338	2922	195.051	527-07-1	10690	C00257	HMDB00625
470	glucose	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	LC/MS Polar	572	2342	179.0561	50-99-7	79025	C00031	HMDB00122
471	glucuronate	Carbohydrate	Aminosugar Metabolism	LC/MS Polar	100000257	3233.3	193.0354	207300-70-7	444791	C00191	HMDB00127
472	glucuronide of C10H18O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100019990	2728	345.1555		.		
473	glucuronide of C10H18O2 (5)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100020012	3582	345.1555		.		
474	glucuronide of C10H18O2 (7)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100020014	3790	345.1555		.		
475	glucuronide of C10H18O2 (8)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100020015	3865	345.1555		.		
476	glucuronide of C12H22O4 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100019984	2590	405.1766		.		
477	glucuronide of C14H26O4 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100019986	3200	433.2079		.		
478	glucuronide of piperine metabolite C17H21NO3 (3)*	Xenobiotics	Food Component/Plant	LC/MS Neg	100020491	3951	462.177		.		
479	glucuronide of piperine metabolite C17H21NO3 (4)*	Xenobiotics	Food Component/Plant	LC/MS Neg	100020492	3992	462.177		.		
480	glucuronide of piperine metabolite C17H21NO3 (5)*	Xenobiotics	Food Component/Plant	LC/MS Neg	100020493	4039	462.177		.		
481	glutamate	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	561	1500	148.0604	56-86-0	611	C00025	HMDB00148
482	glutamine	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	563	1291	147.0764	56-85-9	5961	C00064	HMDB00641
483	glutarate (C5-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	339	2900	131.035	110-94-1	743	C00489	HMDB00661
484	glutarylcarnitine (C5-DC)	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100001593	2393	276.1442	102636-82-8	71464488		HMDB13130
485	glycerate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	LC/MS Polar	1052	2070.4	105.0193	600-19-1	752	C00258	HMDB00139
486	glycerol	Lipid	Glycerolipid Metabolism	LC/MS Neg	1254	758	91.0401	56-81-5	753	C00116	HMDB00131
487	glycerol 3-phosphate	Lipid	Glycerolipid Metabolism	LC/MS Pos Early	100000258	580	173.021	29849-82-9	754	C00093	HMDB00126
488	glycerophosphoethanolamine	Lipid	Phospholipid Metabolism	LC/MS Pos Early	100001620	659	216.0632	33049-08-0	123874	C01233	HMDB00114
489	glycerophosphoglycerol	Lipid	Glycerolipid Metabolism	LC/MS Polar	100001619	2430	245.0432		439964	C03274	
490	glycerophosphorylcholine (GPC)	Lipid	Phospholipid Metabolism	LC/MS Pos Early	100000269	672	258.1101	28319-77-9	71920	C00670	HMDB00086
491	glycine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	340	1375	76.0393	56-40-6	750	C00037	HMDB00123
492	glycine conjugate of C10H14O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	LC/MS Neg	100020254	4335	222.1136		.		
493	glyco-beta-muricholate**	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	100020214	4762	464.3018		.		
494	glycochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	1628	5236.1	448.3068	16564-43-5	12544	C05466	HMDB00637
495	glycochenodeoxycholate glucuronide (1)	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	100009264	4806	311.6658		.		
496	glycochenodeoxycholate sulfate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	100006641	4820	263.6282		.		
497	glycocholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	342	5163	464.3018	475-31-0;863-57-0	10140	C01921	HMDB00138
498	glycocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001989	4750	254.6229		.		
499	glycodeoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100000436	5281	448.3068	360-65-6	3035026	C05464	HMDB00631
500	glycodeoxycholate sulfate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100006642	4875	263.6282		.		
501	glycohyocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100004083	5020	464.3018		.		
502	glycolate (hydroxyacetate)	Xenobiotics	Chemical	LC/MS Polar	203	1790.4	159.0107	79-14-1	757	C00160	HMDB00115
503	glycolithocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001064	5357.1	432.3119	474-74-8	115245	C15557	HMDB00698
504	glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001657	5011	255.6307	15324-64-8	72222	C11301	HMDB02639
505	glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100002911	5033	448.3068	64480-66-6	12310288		HMDB00708
506	guaiacol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100004208	2344	203.002		22473		HMDB60013
507	guanidinoacetate	Amino Acid	Creatine Metabolism	LC/MS Polar	344	2884	116.0466	352-97-6	763	C00581	HMDB00128
508	guanine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Pos Early	172	2032	152.0567	73-40-5	764	C00242	HMDB00132
509	guanosine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Neg	1099	1662	282.0844	118-00-3	6802	C00387	HMDB00133
510	gulonate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	LC/MS Polar	100001586	2750	195.051	20246-53-1	9794176	C00257	HMDB03290
511	HCER(14:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009956	.	.		.		
512	HCER(16:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009957	.	.		.		
513	HCER(18:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009786	.	.		.		
514	HCER(18:1)	Sphingolipids	Hexosylceramide	DMS-MS	100009958	.	.		.		
515	HCER(20:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009787	.	.		.		
516	HCER(20:1)	Sphingolipids	Hexosylceramide	DMS-MS	100010658	.	.		.		
517	HCER(22:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009621	.	.		.		
518	HCER(22:1)	Sphingolipids	Hexosylceramide	DMS-MS	100009622	.	.		.		
519	HCER(24:0)	Sphingolipids	Hexosylceramide	DMS-MS	100010659	.	.		.		
520	HCER(24:1)	Sphingolipids	Hexosylceramide	DMS-MS	100010660	.	.		.		
521	HCER(26:0)	Sphingolipids	Hexosylceramide	DMS-MS	100009959	.	.		.		
522	HCER(26:1)	Sphingolipids	Hexosylceramide	DMS-MS	100010136	.	.		.		
523	heme	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Neg	100001386	5325	632.1722	14875-96-8	26945	C00032	HMDB03178
524	heptanoate (7:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	925	3670	129.0921	111-14-8	8094	C17714	HMDB00666
525	heptenedioate (C7:1-DC)*	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100019981	2816	157.0506		.		
526	hexadecanedioate (C16-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100001614	4615	285.2071	505-54-4	10459	C19615	HMDB00672
527	hexadecenedioate (C16:1-DC)*	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100019975	4380	283.1915		.		
528	hexanoylcarnitine (C6)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100000781	3308	260.1856	6920-35-0	6426853		HMDB00705
529	hexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	LC/MS Neg	100001733	2780	243.135		.		
530	hexanoylglycine	Lipid	Fatty Acid Metabolism(Acyl Glycine)	LC/MS Neg	100001527	2900	172.0979	24003-67-6	99463		HMDB00701
531	hippurate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000014	2106.9	178.051	495-69-2	464	C01586	HMDB00714
532	histidine	Amino Acid	Histidine Metabolism	LC/MS Neg	355	755.9	154.0622	5934-29-2	6274	C00135	HMDB00177
533	homoarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100000961	2882	189.1346	156-86-5	9085	C01924	HMDB00670
534	homocitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Neg	100000963	789	188.1041	1190-49-4	65072	C02427	HMDB00679
535	homostachydrine*	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100001550	1750	158.1176	1195-94-4	441447	C08283	HMDB33433
536	homovanillate (HVA)	Amino Acid	Tyrosine Metabolism	LC/MS Neg	117	1649	181.0506	306-08-1	1738	C05582	HMDB00118
537	hydantoin-5-propionic acid	Amino Acid	Histidine Metabolism	LC/MS Polar	100002514	2080	171.0411	5624-26-0	782	C05565	HMDB01212
538	hydroquinone beta-D-glucopyranoside	Xenobiotics	Food Component/Plant	LC/MS Neg	100002220	1520	271.0823	497-76-7	346	C06186	HMDB29943
539	hydroquinone sulfate	Xenobiotics	Drug - Topical Agents	LC/MS Neg	100001604	1395	188.9863	123-31-9	161220	C00530	HMDB02434
540	hydroxyasparagine**	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	100020205	1149	149.0557		97663	C03124	HMDB32332
541	hydroxy-CMPF*	Xenobiotics	Chemical	LC/MS Neg	100019794	1516	255.0874		.		
542	trans-4-hydroxyproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	1001	1064	132.0655	51-35-4	5810	C01157	HMDB00725
543	hyocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001279	5046	407.2803	547-75-1	92805	C17649	HMDB00760
544	hypotaurine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	358	724	110.027	300-84-5	107812	C00519	HMDB00965
545	hypoxanthine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Neg	171	1291.2	135.0312	68-94-0	790	C00262	HMDB00157
546	ibuprofen	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	1487	4925	205.1234	15687-27-1	3672	D00126	HMDB01925
547	ibuprofen acyl glucuronide	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100002406	4976	381.1555	115075-59-7	163959		
548	imidazole lactate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100000263	2040	157.0608	14403-45-3	440129	C05568	HMDB02320
549	imidazole propionate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100003434	2263	141.0659	1074-59-5	70630		HMDB02271
550	indoleacetate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100001034	2200	174.0561	6505-45-9	802	C00954	HMDB00197
551	indoleacetylcarnitine*	Xenobiotics	Chemical	LC/MS Pos Early	100020479	3114	319.1652		.		
552	indoleacetylglutamine	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100001731	2535	302.1146		25200879		HMDB13240
553	indolelactate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100000463	2286	204.0666	832-97-3	92904	C02043	HMDB00671
554	indolepropionate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100001083	2795	188.0717	830-96-6	3744		HMDB02302
555	inosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Neg	361	1602.1	267.0735	58-63-9	6021	C00294	HMDB00195
556	isobutyrylcarnitine (C4)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	100001055	2810	232.1543	25518-49-4	168379		HMDB00736
557	isobutyrylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001590	1420	144.0666	15926-18-8	10855600		HMDB00730
558	isocitrate	Energy	TCA Cycle	LC/MS Pos Early	1206	773	210.0608	20226-99-7	1198	C00311	HMDB00193
559	isocitric lactone	Energy	TCA Cycle	LC/MS Polar	100009239	2970	173.0092	4702-32-3	98259		
560	isoeugenol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100006089	3893	243.0333		.		
561	isoleucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	376	2800	132.1019	73-32-5	6306	C00407	HMDB00172
562	isoleucylglycine	Peptide	Dipeptide	LC/MS Neg	100003169	1992	187.1088	868-28-0	342532		HMDB28907
563	isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100002488	4809	391.2854	78919-26-3	127601	C17662	HMDB00686
564	isovalerate (i5:0)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000708	1564	101.0608	503-74-2	10430	C08262	HMDB00718
565	isovalerylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	100001393	3085	246.17	31023-24-2	6426851		HMDB00688
566	isovalerylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001452	1950	158.0823	16284-60-9	546304		HMDB00678
567	kynurenate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	98	2224	188.0353	492-27-3	3845	C01717	HMDB00715
568	kynurenine	Amino Acid	Tryptophan Metabolism	LC/MS Pos Early	100000265	2739	209.0921	2922-83-0	161166	C00328	HMDB00684
569	lactate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	LC/MS Neg	482	681.6	89.0244	79-33-4	612	C00186	HMDB00190
570	lamotrigine	Xenobiotics	Drug - Neurological	LC/MS Pos Early	100009390	3379	256.0151		3878	D00354	HMDB14695,HMDB05043
571	lanthionine	Xenobiotics	Chemical	LC/MS Pos Early	100003892	1730	209.0591	3183-08-02 00:00:00	98504		
572	laurylcarnitine (C12)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100001392	1235	344.2795	25518-54-1	10427569		HMDB02250
573	LCER(14:0)	Sphingolipids	Lactosylceramide	DMS-MS	100009432	.	.		.		
574	LCER(16:0)	Sphingolipids	Lactosylceramide	DMS-MS	100010289	.	.		.		
575	LCER(18:0)	Sphingolipids	Lactosylceramide	DMS-MS	100009623	.	.		.		
576	LCER(18:1)	Sphingolipids	Lactosylceramide	DMS-MS	100009624	.	.		.		
577	LCER(20:0)	Sphingolipids	Lactosylceramide	DMS-MS	100009625	.	.		.		
578	LCER(20:1)	Sphingolipids	Lactosylceramide	DMS-MS	100009960	.	.		.		
579	LCER(22:0)	Sphingolipids	Lactosylceramide	DMS-MS	100009788	.	.		.		
580	LCER(22:1)	Sphingolipids	Lactosylceramide	DMS-MS	100010290	.	.		.		
581	LCER(24:0)	Sphingolipids	Lactosylceramide	DMS-MS	100010137	.	.		.		
582	LCER(24:1)	Sphingolipids	Lactosylceramide	DMS-MS	100009626	.	.		.		
583	LCER(26:0)	Sphingolipids	Lactosylceramide	DMS-MS	100009789	.	.		.		
584	LCER(26:1)	Sphingolipids	Lactosylceramide	DMS-MS	100009790	.	.		.		
585	leucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	397	2864	132.1019	61-90-5	6106	C00123	HMDB00687
586	leucylglycine	Peptide	Dipeptide	LC/MS Neg	100003185	2050	187.1088	686-50-0	79070		HMDB28929
587	lignoceroylcarnitine (C24)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015834	1603	512.4673		.		
588	linolenoylcarnitine (C18:3)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015831	1310	422.3265		.		
589	linoleoyl ethanolamide	Lipid	Endocannabinoid	LC/MS Neg	100006726	6150	322.2752	68171-52-8	5283446		HMDB12252
590	linoleoylcarnitine (C18:2)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100003151	1430	424.3421	36816-10-1	6450015		HMDB06469
591	LPC(14:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009433	.	.		.		
592	LPC(15:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009434	.	.		.		
593	LPC(16:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009435	.	.		.		
594	LPC(16:1)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009627	.	.		.		
595	LPC(17:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010291	.	.		.		
596	LPC(18:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010292	.	.		.		
597	LPC(18:1)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010293	.	.		.		
598	LPC(18:2)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010479	.	.		.		
599	LPC(18:3)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010661	.	.		.		
600	LPC(20:0)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009628	.	.		.		
601	LPC(20:1)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009961	.	.		.		
602	LPC(20:2)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010138	.	.		.		
603	LPC(20:3)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010294	.	.		.		
604	LPC(20:4)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009629	.	.		.		
605	LPC(20:5)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009792	.	.		.		
606	LPC(22:4)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009963	.	.		.		
607	LPC(22:5)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100010481	.	.		.		
608	LPC(22:6)	Lysophosphatidylcholine	LPC Ester	DMS-MS	100009793	.	.		.		
609	LPE(14:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009631	.	.		.		
610	LPE(15:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009794	.	.		.		
611	LPE(16:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010664	.	.		.		
612	LPE(16:1)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010295	.	.		.		
613	LPE(17:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010141	.	.		.		
614	LPE(18:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009632	.	.		.		
615	LPE(18:1)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009436	.	.		.		
616	LPE(18:2)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009965	.	.		.		
617	LPE(18:3)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010665	.	.		.		
618	LPE(20:0)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009437	.	.		.		
619	LPE(20:1)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009795	.	.		.		
620	LPE(20:2)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009966	.	.		.		
621	LPE(20:3)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010482	.	.		.		
622	LPE(20:4)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009633	.	.		.		
623	LPE(20:5)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010142	.	.		.		
624	LPE(22:4)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009635	.	.		.		
625	LPE(22:5)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100010667	.	.		.		
626	LPE(22:6)	Lysophosphatidylethanolamine	LPE Ester	DMS-MS	100009797	.	.		.		
627	lysine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	407	2850	147.1128	56-87-1	5962	C00047	HMDB00182
628	malate	Energy	TCA Cycle	LC/MS Neg	409	615.6	133.0143	6915-15-7	525	C00149	HMDB00156
629	maltose	Carbohydrate	Glycogen Metabolism	LC/MS Polar	913	3329.4	387.1144	6363-53-7	10991489	C00208	HMDB00163
630	maltotriose	Carbohydrate	Glycogen Metabolism	LC/MS Neg	100000276	812	503.1618	1109-28-0	439586	C01835	HMDB01262
631	mannitol/sorbitol	Carbohydrate	Fructose, Mannose and Galactose Metabolism	LC/MS Polar	100001740	2320	181.0718		5780	C00794	HMDB00247
632	mannose	Carbohydrate	Fructose, Mannose and Galactose Metabolism	LC/MS Polar	803	2200	225.0616	3458-28-4	18950	C00159	HMDB00169
633	margaroylcarnitine (C17)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100004054	1424	414.3578	106182-29-0	.		HMDB06210
634	methionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	415	2526	150.0583	63-68-3	6137	C00073	HMDB00696
635	methionine sulfone	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	100004635	1250	182.0482	820-10-0	69961		
636	methionine sulfoxide	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	100000039	1272	166.0533	3226-65-1	158980	C02989	HMDB02005
637	methyl glucopyranoside (alpha + beta)	Xenobiotics	Food Component/Plant	LC/MS Neg	100005864	1070	193.0718		.		
638	methyl-4-hydroxybenzoate sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100006116	2873	230.9969		.		
639	methylsuccinate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	2051	2800	131.035	498-21-5	10349		HMDB01844
640	myristoleoylcarnitine (C14:1)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100006051	1316	370.2947	889848-55-9	90659872		
641	myristoylcarnitine (C14)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100001270	1350	372.3108	18822-89-4	6426854		HMDB05066
642	N-(2-furoyl)glycine	Xenobiotics	Food Component/Plant	LC/MS Neg	100001086	1525	168.0302	5657-19-2;5657-19-2	21863		HMDB00439
643	N1-Methyl-2-pyridone-5-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	LC/MS Neg	100001468	1668	151.0513	701-44-0	69698	C05842	HMDB04193
644	N1-methylinosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Pos Early	100001409	1430	283.1037	20245-33-4	65095		HMDB02721
645	N2,N2-dimethylguanosine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Pos Early	100001412	2210	312.1303	2140-67-2	92919		HMDB04824
646	N4-acetylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	100001413	1580	286.1034	3768-18-1	107461		HMDB05923
647	N6,N6,N6-trimethyllysine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	189	2825	189.1598	23284-33-5	440120	C03793	HMDB01325
648	N6-acetyllysine	Amino Acid	Lysine Metabolism	LC/MS Neg	100001734	1059	187.1088	692-04-6	92832	C02727	HMDB00206
649	N6-carbamoylthreonyladenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Neg	100001415	2164	411.127	24719-82-2	161466		HMDB41623
650	N6-carboxymethyllysine	Carbohydrate	Advanced Glycation End-product	LC/MS Pos Early	100001768	2500	205.1183	5746-04-03 00:00:00	123800		
651	N6-succinyladenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Neg	100001664	940	382.1004	4542-23-8	165243		HMDB00912
652	N-acetyl-2-aminooctanoate*	Lipid	Fatty Acid, Amino	LC/MS Neg	100020204	3943	200.1292		95555		HMDB59745
653	N-acetylalanine	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Polar	1110	1564.8	130.051	97-69-8	88064	C02847	HMDB00766
654	N-acetylalliin	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100005367	1348	220.0638		.		
655	N-acetylarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100001266	2245	217.1295	155-84-0	67427	C02562	HMDB04620
656	N-acetylaspartate (NAA)	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	100000787	880	176.0554	997-55-7;997-55-7	65065	C01042	HMDB00812
657	N-acetyl-aspartyl-glutamate (NAAG)	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	100001612	1035	305.098	3106-85-2	5255	C12270	HMDB01067
658	N-acetyl-beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100002102	773	130.051	3025-95-4	76406	C01073	
659	N-acetylcarnosine	Amino Acid	Histidine Metabolism	LC/MS Neg	100004046	1235	267.1099	56353-15-2	9903482		HMDB12881
660	N-acetylcitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Neg	100001577	940	216.099	33965-42-3	656979	C15532	HMDB00856
661	N-acetylglucosamine/N-acetylgalactosamine	Carbohydrate	Aminosugar Metabolism	LC/MS Pos Early	100006435	715	222.0972		24139		HMDB00215
662	N-acetylglutamate	Amino Acid	Glutamate Metabolism	LC/MS Polar	100000282	3106	188.0564	5817-08-03 00:00:00	70914	C00624	HMDB01138
663	N-acetylglutamine	Amino Acid	Glutamate Metabolism	LC/MS Polar	100001253	2140	187.0724	2490-97-3	182230	C02716	HMDB06029
